id,en,fr,ja,de,desc
USERS_ADD_ERROR,Couldn't load the user list.,Impossible de charger la liste des utilisateurs.,ユーザー一覧を読み込めませんでした。,Benutzerliste konnte nicht geladen werden.,Shown when the user search request fails
SOCIAL_INCOMING_REQUESTS,Incoming requests,Demandes reçues,受信した申請,Eingehende Anfragen,Incoming friend requests section
SOCIAL_OUTGOING_REQUESTS,Outgoing requests,Demandes envoyées,送信した申請,Ausgehende Anfragen,Outgoing friend requests section
SOCIAL_NO_OUTGOING,No outgoing requests,Aucune demande envoyée,送信した申請はありません,Keine ausgehenden Anfragen,Displayed when there are no outgoing friend requests
SOCIAL_NO_INCOMING,No incoming requests,Aucune demande reçue,受信した申請はありません,Keine eingehenden Anfragen,Displayed when there are no incoming friend requests
SOCIAL_REQUESTS_ERROR,Couldn't load friend requests.,Impossible de charger les demandes d'amis.,フレンド申請を読み込めませんでした。,Freundschaftsanfragen konnten nicht geladen werden.,Displayed when the friend requests request fails
SOCIAL_REQUESTS_OUTGOING,Sent,Envoyée,送信済み,Gesendet,Displayed when waiting for the other user to respond
SOCIAL_ADD_FRIEND_FAILED,Failed to send friend request.,Échec de l'envoi de la demande d'ami.,フレンド申請の送信に失敗しました。,Freundschaftsanfrage konnte nicht gesendet werden.,Error shown when sending a friend request fails
SOCIAL_RESPOND_FRIEND_FAILED,Failed to respond to friend request.,Échec de la réponse à la demande d'ami.,フレンド申請への応答に失敗しました。,Auf Freundschaftsanfrage konnte nicht geantwortet werden.,Error shown when responding to a friend request fails
PROGRESS_BAR_LVL,LVL,NIV,LV,LVL,Shown below a player's level in its profile
PROFILE_SOCIAL_LOADING,Loading...,Chargement...,関係を読み込み中,Wird geladen...,Shown while the public profile social relation is loading
PROFILE_SOCIAL_ADD_FRIEND,Add friend,Ajouter ami,フレンド追加,Freund hinzufügen,Button to send a friend request from a public profile
PROFILE_SOCIAL_FRIEND,Friend,Ami,フレンド,Freund,Status shown when the public profile user is already a friend
PROFILE_SOCIAL_REMOVE_FRIEND,Remove,Retirer des amis,フレンド解除,Entfernen,Button to remove an existing friend from a public profile
PROFILE_SOCIAL_CANCEL_REQUEST,Cancel,Annuler,申請をキャンセル,Abbrechen,Button to cancel an outgoing friend request from a public profile
PROFILE_SOCIAL_REQUEST_SENT,Request sent,Demande envoyée,申請送信済み,Anfrage gesendet,Status shown when a friend request is outgoing
PROFILE_SOCIAL_REQUEST_RECEIVED,Request received,Demande reçue,申請受信済み,Anfrage erhalten,Status shown when a friend request is incoming
PROFILE_SOCIAL_ACCEPT,Accept,Accepter,承認,Annehmen,Button to accept an incoming friend request
PROFILE_SOCIAL_REFUSE,Refuse,Refuser,拒否,Ablehnen,Button to refuse an incoming friend request
PROFILE_SOCIAL_CANCEL_REQUEST_TITLE,Cancel friend request,Annuler la demande d’ami,フレンド申請をキャンセル,Freundschaftsanfrage abbrechen,Title of the confirmation dialog to cancel an outgoing friend request
PROFILE_SOCIAL_REMOVE_FRIEND_CONFIRMATION,This will remove this user from your friends. Continue ?,Cela retirera cet utilisateur de vos amis. Continuer ?,このユーザーをフレンドから解除します。続行しますか？,Dieser Benutzer wird aus deinen Freunden entfernt. Fortfahren?,Confirmation text before removing a friend from a public profile
PROFILE_SOCIAL_REMOVE_FRIEND_CANCEL,Keep friend,Garder l’ami,フレンドのままにする,Freund behalten,Shown to cancel the friend removal in the dialog
PROFILE_SOCIAL_REMOVE_FRIEND_TITLE,Remove friend,Retirer l’ami,フレンド解除,Freund entfernen,Title of the confirmation dialog to remove a friend
PROFILE_SOCIAL_CANCEL_REQUEST_CONFIRMATION,This will cancel your pending friend request. Continue ?,Cela annulera votre demande d'ami en attente. Continuer ?,保留中のフレンド申請をキャンセルします。続行しますか？,Deine ausstehende Freundschaftsanfrage wird abgebrochen. Fortfahren?,Confirmation text before canceling an outgoing friend request from a public profile
PROFILE_SOCIAL_CANCEL_REQUEST_CANCEL,Keep request,Garder la demande,申請を維持する,Anfrage behalten,Shown to cancel the request cancel in the dialog
PROFILE_SOCIAL_RELATION_FAILED,Couldn't load social relation.,Impossible de charger la relation sociale.,ソーシャル関係を読み込めませんでした。,Beziehungsstatus konnte nicht geladen werden.,Error shown when loading the public profile relation fails
PROFILE_SOCIAL_ACTION_FAILED,Friend action failed,L'action ami a échoué,フレンド操作に失敗しました。,Freundesaktion fehlgeschlagen,Error shown when a public profile friend action fails
PROFILE_SOCIAL_REQUEST_EXPIRED,Friend request expired,Demande d'ami expirée,申請期限切れ,Freundschaftsanfrage abgelaufen,Shown when an incoming friend request disappeared before the user could accept or refuse it
SOCIAL_NO_MESSAGE,You do not have any messages with this user yet.,Vous n'avez pas encore de messages avec cet utilisateur.,このユーザーとのメッセージはまだありません。,Du hast noch keine Nachrichten mit diesem Benutzer.,Displayed when there is no conversation with the selected user
SOCIAL_MESSAGE_ERROR,Couldn't load messages.,Impossible de charger les messages.,メッセージを読み込めませんでした。,Nachrichten konnten nicht geladen werden.,Displayed when the message feed request fails
CHANGE_FAILED,Change failed,La modification a échoué,変更に失敗しました,Änderung fehlgeschlagen,Shows when an unknown error occurred while changing a profile field
CHANGE_SUCCESS,Change saved,Modification enregistrée,変更を保存しました,Änderung gespeichert,Shown when a profile change succeeds
DELETE_ACCOUNT_CONFIRMATION,This will permanently delete your profile. Are you sure you want to continue?,Cela supprimera définitivement votre profil. Voulez-vous vraiment continuer ?,プロフィールが完全に削除されます。本当に続行しますか？,Dein Profil wird dauerhaft gelöscht. Möchtest du wirklich fortfahren?,Shown in the delete profile confirmation dialog
DELETE_FAILED,Delete failed,La suppression a échoué,削除に失敗しました,Löschen fehlgeschlagen,Shows when an unknown error occurred while deleting a profile
UPDATE_PROFILE_PICTURE,Update Profile Picture,Mettre à jour la photo de profil,プロフィール画像を更新する,Profilbild aktualisieren,Dialog title for profile picture upload
CHOOSE_PICTURE_PREVIEW,Choose an image to preview before uploading,Choisissez une image à prévisualiser avant le téléversement,アップロード前にプレビューする画像を選択してください,"Wähle ein Bild aus, um vor dem Hochladen eine Vorschau anzuzeigen",Helper text for profile picture preview before upload
CANCEL,Cancel,Annuler,キャンセル,Abbrechen,To cancel an action
CHOOSE_IMAGE,Choose Image,Choisir une image,画像を選択する,Bild auswählen,Button label to select an image file
SAVE,Save,Sauvegarder,保存,Speichern,Confirm button text
PROFILE_IMAGE_REQUIREMENTS,Use a PNG JPG WEBP GIF or BMP image up to 5 MB,Utilisez une image PNG JPG WEBP GIF ou BMP de 5 Mo maximum,PNG JPG WEBP GIF または BMP を 5 MB 以内で使用してください,"Verwende ein PNG-, JPG-, WEBP-, GIF- oder BMP-Bild mit bis zu 5 MB",Helper text for accepted avatar image formats and size
PROFILE_IMAGE_INVALID_TYPE,Unsupported image format,Format d'image non pris en charge,サポートされていない画像形式です,Nicht unterstütztes Bildformat,Shown when the selected avatar file format is not supported
PROFILE_IMAGE_TOO_LARGE,Image is too large,L'image est trop volumineuse,画像サイズが大きすぎます,Bild ist zu groß,Shown when the selected avatar image exceeds the size limit
PROFILE_IMAGE_INVALID_FILE,Invalid image file,Fichier image invalide,無効な画像ファイルです,Ungültige Bilddatei,Shown when the selected avatar file cannot be decoded as a valid image
UPLOAD_FAILED,Upload failed,L'envoi a échoué,アップロードに失敗しました,Upload fehlgeschlagen,Shown when an image upload fails for an unknown reason
MESSAGE_SENT_FAILED,Failed to send message,Impossible d'envoyer le message,メッセージの送信に失敗しました,Nachricht konnte nicht gesendet werden,Shown when a chat message cannot be sent
PASSWORD_UPDATED,Password updated,Mot de passe mis à jour,パスワードが更新されました,Passwort aktualisiert,Shown when the password update succeeds
PROFILE_STATISTICS,Profile Statistics,Statistiques du profil,プロフィール統計,Profilstatistiken,Optional title for the profile statistics panel
PROFILE_MATCH_HISTORY,Match History,Historique des matchs,対戦履歴,Spielverlauf,Optional title for the profile match history panel
NO_RESPONSE,No response from the server,Aucune réponse du serveur,サーバーから応答がありません,Keine Antwort vom Server,Shown when a request returns no response
INVALID,Invalid data,Données invalides,無効なデータです,Ungültige Daten,Shown when a response payload is invalid
UNAUTHORIZED,Unauthorized,Non autorisé,認証が必要です,Nicht autorisiert,Shown when authentication is required
FRIENDSHIP_REQUEST_SENT,Friend request sent,Demande d'ami envoyée,フレンド申請を送信しました,Freundschaftsanfrage gesendet,Shown when a friend request is sent successfully
FRIENDSHIP_REQUEST_ACCEPTED,Friend request accepted,Demande d'ami acceptée,フレンド申請が承認されました,Freundschaftsanfrage angenommen,Shown when a friend request is accepted
MISSING_FRIEND,Friend not found,Ami introuvable,フレンドが見つかりません,Freund nicht gefunden,Shown when a target friend cannot be found
CONTACT,Contact,Contact,お問い合わせ,Kontakt,Footer link for contact page
CONTACT_INTRO,The people behind Guess Tunes,Les personnes derrière Guess Tunes,Guess Tunes を支えるメンバー,Die Menschen hinter Guess Tunes,Intro text shown on the contact page
Q_AND_A,Q&A,FAQ,よくある質問,FAQ,Footer link for Q and A page
QA_PROFILE_PICTURE_QUESTION,How do I change my profile picture?,Comment changer ma photo de profil ?,プロフィール画像はどうやって変更しますか？,Wie ändere ich mein Profilbild?,Q and A profile picture question
QA_PROFILE_PICTURE_ANSWER,Open your profile page click the camera icon on your avatar choose an image preview it and save your changes.,Ouvrez votre page de profil cliquez sur l'icône appareil photo sur votre avatar choisissez une image prévisualisez la puis enregistrez vos modifications.,自分のプロフィールページを開き アバター上のカメラアイコンを押して 画像を選び プレビューしてから保存してください。,"Öffne deine Profilseite, klicke auf das Kamerasymbol auf deinem Avatar, wähle ein Bild aus, prüfe die Vorschau und speichere deine Änderungen.",Q and A profile picture answer
QA_ACCOUNT_INFO_QUESTION,How do I change my username or email address?,Comment changer mon nom d'utilisateur ou mon adresse email ?,ユーザー名やメールアドレスはどうやって変更しますか？,Wie ändere ich meinen Benutzernamen oder meine E-Mail-Adresse?,Q and A username and email question
QA_ACCOUNT_INFO_ANSWER,Open your profile settings and use the Change Username or Change Email section. The update is applied as soon as the form succeeds.,Ouvrez les paramètres du profil et utilisez la section Modifier le nom d'utilisateur ou Modifier l'adresse email. La mise à jour est appliquée dès que le formulaire réussit.,プロフィール設定を開き 「ユーザー名を変更する」または「Eメールアドレスを変更する」を使ってください。フォームが成功するとすぐに更新されます。,"Öffne deine Profileinstellungen und verwende den Bereich Benutzername ändern oder E-Mail ändern. Die Aktualisierung wird übernommen, sobald das Formular erfolgreich gesendet wurde.",Q and A username and email answer
QA_PASSWORD_QUESTION,How do I change my password?,Comment changer mon mot de passe ?,パスワードはどうやって変更しますか？,Wie ändere ich mein Passwort?,Q and A password question
QA_PASSWORD_ANSWER,Open the profile settings page and use the Change Password section with your current password and your new password.,Ouvrez la page des paramètres du profil et utilisez la section Modifier le mot de passe avec votre mot de passe actuel et votre nouveau mot de passe.,プロフィール設定ページを開き 現在のパスワードと新しいパスワードを入力して「パスワードを変更する」を使ってください。,Öffne die Profileinstellungen und verwende den Bereich Passwort ändern mit deinem aktuellen Passwort und deinem neuen Passwort.,Q and A password answer
QA_DELETE_ACCOUNT_QUESTION,How do I delete my account?,Comment supprimer mon compte ?,アカウントはどうやって削除しますか？,Wie lösche ich mein Konto?,Q and A delete account question
QA_DELETE_ACCOUNT_ANSWER,Open profile settings use the Delete Account section enter your password and confirm the deletion in the dialog. This action permanently removes your profile.,Ouvrez les paramètres du profil utilisez la section Supprimer le compte saisissez votre mot de passe puis confirmez la suppression dans la fenêtre. Cette action supprime définitivement votre profil.,プロフィール設定を開き 「アカウントを削除する」からパスワードを入力し ダイアログで削除を確定してください。この操作はプロフィールを完全に削除します。,"Öffne die Profileinstellungen, verwende den Bereich Konto löschen, gib dein Passwort ein und bestätige die Löschung im Dialog. Diese Aktion entfernt dein Profil dauerhaft.",Q and A delete account answer
QA_LEVELS_QUESTION,How are levels and titles calculated?,Comment les niveaux et les titres sont ils calculés ?,レベルや称号はどのように計算されますか？,Wie werden Level und Titel berechnet?,Q and A levels question
QA_LEVELS_ANSWER,Your level increases every 100 XP and the progress bar shows how close you are to the next level. Your displayed title changes automatically based on your total XP.,Votre niveau augmente tous les 100 XP et la barre de progression montre à quel point vous êtes proche du niveau suivant. Le titre affiché change automatiquement selon votre total d'XP.,レベルは 100 XP ごとに上がり プログレスバーには次のレベルまでどれくらい近いかが表示されます。表示される称号は合計 XP に応じて自動で変わります。,"Dein Level steigt alle 100 XP, und die Fortschrittsleiste zeigt, wie nah du am nächsten Level bist. Dein angezeigter Titel ändert sich automatisch basierend auf deinen gesamten XP.",Q and A levels answer
QA_CONTACT_QUESTION,How do I contact the team?,Comment contacter l'équipe ?,チームにはどうやって連絡できますか？,Wie kontaktiere ich das Team?,Q and A contact question
QA_CONTACT_ANSWER,Use the Contact page from the footer to find the team members and reach them by email.,Utilisez la page Contact depuis le pied de page pour voir les membres de l'équipe et les joindre par email.,フッターの Contact ページからチームメンバーを確認し メールで連絡できます。,"Verwende die Kontaktseite in der Fußzeile, um die Teammitglieder zu finden und sie per E-Mail zu erreichen.",Q and A contact answer
QA_MATCH_RULES_QUESTION,What are the official match rules?,Quelles sont les règles officielles des matchs ?,公式な対戦ルールは何ですか？,Was sind die offiziellen Spielregeln?,Q and A match rules question
QA_MATCH_RULES_ANSWER,"Each round plays one track preview. Players can guess the artist, the title, or both. Artist and title are validated separately, so a player can find one part first and the other later in the same round.","Chaque manche lance un extrait musical. Les joueurs peuvent deviner l'artiste, le titre ou les deux. L'artiste et le titre sont validés séparément, donc un joueur peut trouver une partie puis l'autre pendant la même manche.","各ラウンドでは1曲のプレビューが再生されます。プレイヤーはアーティスト、曲名、またはその両方を回答できます。アーティストと曲名は別々に判定されるため、同じラウンド内で片方を先に当ててからもう片方を当てることもできます。","In jeder Runde wird eine Titelvorschau abgespielt. Spieler können Künstler, Titel oder beides erraten. Künstler und Titel werden getrennt geprüft, sodass ein Spieler in derselben Runde erst einen Teil und später den anderen finden kann.",Q and A match rules answer
QA_SCORING_QUESTION,How does scoring work?,Comment fonctionne le score ?,スコアはどのように計算されますか？,Wie funktioniert die Punktewertung?,Q and A scoring question
QA_SCORING_ANSWER,"In Normal mode, finding both artist and title in a round gives 10 XP, while finding only one of them gives 4 XP. In Speed mode, artist and title each have a 5 point pool; the earliest correct finds get the most points and later finds decrease down to a minimum of 2.","En mode Normal, trouver à la fois l'artiste et le titre dans une manche donne 10 XP, tandis qu'en trouver un seul donne 4 XP. En mode Vitesse, l'artiste et le titre ont chacun une réserve de 5 points; les premières bonnes réponses rapportent le plus, puis les points diminuent jusqu'à un minimum de 2.","ノーマルモードでは、1ラウンドでアーティストと曲名の両方を当てると10 XP、片方だけを当てると4 XPです。スピードモードでは、アーティストと曲名にそれぞれ5点の枠があり、早く当てたプレイヤーほど多く得点し、後の正解は最低2点まで下がります。","Im Normalmodus gibt es 10 XP, wenn Künstler und Titel in einer Runde gefunden werden, und 4 XP, wenn nur einer davon gefunden wird. Im Geschwindigkeitsmodus haben Künstler und Titel jeweils einen 5-Punkte-Pool; die frühesten richtigen Treffer erhalten am meisten Punkte, spätere Treffer sinken bis auf mindestens 2.",Q and A scoring answer
QA_GAME_CONFIGURATION_QUESTION,What can a host configure before starting a game?,Que peut configurer un hôte avant de lancer une partie ?,ホストはゲーム開始前に何を設定できますか？,Was kann ein Host vor dem Start eines Spiels konfigurieren?,Q and A game configuration question
QA_GAME_CONFIGURATION_ANSWER,"Hosts choose the genres used to build the playlist, the number of tracks, the playback duration, the break duration, answer visibility, fuzzy matching, and the score mode. At least one genre must stay selected so the game can build a playlist.","Les hôtes choisissent les genres utilisés pour créer la playlist, le nombre de titres, la durée d'écoute, la durée de pause, la visibilité des réponses, la correspondance approximative et le mode de score. Au moins un genre doit rester sélectionné pour que la partie puisse créer une playlist.","ホストは、プレイリストに使うジャンル、曲数、再生時間、休憩時間、回答の表示、あいまい一致、スコアモードを選べます。ゲームがプレイリストを作成できるよう、少なくとも1つのジャンルを選択しておく必要があります。","Hosts wählen die Genres für die Wiedergabeliste, die Anzahl der Titel, die Abspieldauer, die Pausendauer, die Antwortsichtbarkeit, Fuzzy-Matching und den Punktemodus. Mindestens ein Genre muss ausgewählt bleiben, damit das Spiel eine Wiedergabeliste erstellen kann.",Q and A game configuration answer
QA_ANSWER_SETTINGS_QUESTION,What do answer visibility and fuzzy matching do?,Que font la visibilité des réponses et la correspondance approximative ?,回答の表示とあいまい一致は何をしますか？,Was bewirken Antwortsichtbarkeit und Fuzzy-Matching?,Q and A answer settings question
QA_ANSWER_SETTINGS_ANSWER,"Answer visibility controls whether players see other players' guesses during the round. Fuzzy matching accepts close spelling with an 80 percent similarity threshold; when it is off, the answer must match the artist or title exactly after trimming and case normalization.","La visibilité des réponses contrôle si les joueurs voient les propositions des autres pendant la manche. La correspondance approximative accepte les orthographes proches avec un seuil de similarité de 80 pour cent; quand elle est désactivée, la réponse doit correspondre exactement à l'artiste ou au titre après nettoyage des espaces et normalisation de la casse.","回答の表示は、ラウンド中に他のプレイヤーの推測を見られるかどうかを決めます。あいまい一致は80パーセント以上似ているスペルを正解として受け入れます。無効の場合は、前後の空白と大文字小文字を整えたうえで、アーティスト名または曲名と完全一致する必要があります。","Antwortsichtbarkeit steuert, ob Spieler die Versuche anderer Spieler während der Runde sehen. Fuzzy-Matching akzeptiert ähnliche Schreibweisen ab 80 Prozent Übereinstimmung; wenn es deaktiviert ist, muss die Antwort nach Trimmen und Vereinheitlichung der Groß- und Kleinschreibung exakt mit Künstler oder Titel übereinstimmen.",Q and A answer settings answer
QA_GAME_ACCESSIBILITY_QUESTION,Who can access a hosted game?,Qui peut accéder à une partie hébergée ?,作成されたゲームには誰が参加できますか？,Wer kann einem gehosteten Spiel beitreten?,Q and A game accessibility question
QA_GAME_ACCESSIBILITY_ANSWER,"Hosts can choose between Public, Friends, and Private access. Public games are visible to everyone on the home page, even guests, Friends games are only for friends and appear in friends related sections, and Private games are only reachable by link or invitation.","Les hôtes peuvent choisir entre un accès Public, Amis et Privé. Les parties publiques sont visibles par tout le monde sur la page d'accueil, même pour les invités, les parties entre amis sont réservées aux amis et apparaissent dans les sections liées aux amis, et les parties privées ne sont accessibles que par lien ou invitation.",ホストは Public、Friends、Private の 3 つから公開範囲を選べます。Public のゲームはゲストを含む全員にホームページで表示され、Friends のゲームはフレンド限定でフレンド関連の欄に表示され、Private のゲームはリンクまたは招待でのみ参加できます。,"Hosts können zwischen öffentlichem, Freunde- und privatem Zugriff wählen. Öffentliche Spiele sind für alle auf der Startseite sichtbar, auch für Gäste. Spiele für Freunde sind nur für Freunde bestimmt und erscheinen in freundesbezogenen Bereichen. Private Spiele sind nur über Link oder Einladung erreichbar.",Q and A game accessibility answer
TERMS_OF_SERVICE,Terms of Service,Conditions d'utilisation,利用規約,Nutzungsbedingungen,Footer link for terms page
PRIVACY_POLICY,Privacy Policy,Politique de confidentialité,プライバシーポリシー,Datenschutzerklärung,Footer link for privacy page
